Start Time,End Time,Lang ID,Text
13,1085,[GER],"Spieler, die eine solche Politik gutheißen,|versuchen, erwiesenermaßen,"
1086,1880,[GER],unser eigenes RAY-Projekt|scheitern zu lassen.
1908,3050,[GER],"Ich verspreche Euch aber, daß ihnen|das nicht gelingen wird."
27,1740,[SPA],"Y harán todo lo que esté en sus manos |para que nuestro propio proyecto, "
1922,2841,[SPA],"RAY, sea un fracaso. |Pero os prometo que no lo conseguirán. "
41,751,[JPN],それを推進しようとする勢力が
766,2368,[JPN],我々のメ夕ルギア#{RAY、レイ}#開発に対し|圧力をかけているという事実もある
2493,3370,[JPN],だが我々は決して屈しない
55,904,[ENG],It is a fact that players|in favor of such a policy
905,1740,[ENG],are attempting to derail|our own RAY project.
1922,2841,[ENG],But I promise you that |they will not succeed.
55,1030,[FRE],Il est évident que ceux qui soutiennent |cette politique 
1030,1810,[FRE],"essaient de faire capoter notre RAY,|"
1922,2841,[FRE],mais je vous promets que leur entreprise|est vouée à l'échec.
55,904,[ITA],È chiaro che alcune forze a |favore di questa politica
905,1740,[ITA],stanno cercando di deragliare il |nostro progetto per il RAY.
1922,2841,[ITA],"Ma non ci riusciranno, |questo ve lo prometto."
