Start Time,End Time,Lang ID,Text
13,946,[ENG],It's what they call an |Ion Mobility Spectrometer.
975,1992,[ENG],It can recognize ionized |gas emitted by C4's.
13,1085,[JPN],俗に言うイオン易動性|蒸気探知器の一種だ
1156,2033,[JPN],C4爆薬から発生する|気化ガスを検知する
13,946,[GER],Es ist ein sogenanntes Ionen-|Bewegungs-Spektrometer.
975,1992,[GER],Es erkennt das von den C4s|abgegebene ionisierte Gas.
13,946,[FRE],C'est ce qu'on appelle un|Spectromètre à mobilité ionique.
975,1992,[FRE],Cet engin reconnaît les gaz|ionisés émis par les C4.
13,946,[ITA],È quello che chiamano|Spettrometro di mobilità a ioni.
975,1992,[ITA],Può riconoscere il gas|ionizzato emesso dalle C4.
13,946,[SPA],Es lo que llamamos un|Espetómetro Móvil Iónico. 
975,1992,[SPA],Puede detectar el gas iónico |que emiten las C4. 
