GROUP,png_path,copied_to,src_hash,dest_hash

=== MATCHES ===
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0002936b.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0002cca2.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0003c3de.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00058f79.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00065bbe.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00068f79.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00075bbe.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00078f79.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0007bc34.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\00085bbe.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0008bc34.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0009bc34.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0009f56f.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\000aa7de.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\000cc716.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\000ebe38.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\001087b3.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0010e123.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\001187b3.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0013547f.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0014547f.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\001463f1.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0015547f.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0017bbf5.png,,,
MATCH,C:\Development\Git\MGS2-PS2-Textures\final_verification_nov22_2025\0020fb52.png,,,
