Start Time,End Time,Lang ID,Text
0,613,[GER],"Paß auf, daß Du ihr|Gespräch mitkriegst."
613,1086,[GER],Du mußt das Mikrofon|auf sie richten!
0,613,[FRE],Tâche de capter|leur conversation !
613,1072,[FRE],Pointes le microphone|vers eux !
13,1071,[JPN],ちゃんと 盗聴するんだ！|マイクを奴等にむけろっ！
27,556,[ENG],Make sure you catch |their conversation! 
626,1030,[ENG],Point the microphone|at them!
27,556,[ITA],Assicurati di sentire|cosa dicono!
626,1030,[ITA],Punta il microfono|verso di loro!
27,556,[SPA],¡Asegúrate de que escuchas |la conversación! 
626,1030,[SPA],¡Apunta el micrófono|hacia ellos!
